Code,Description,PRODUCT,UT_Fruit-No,Esters-No,_Dried_Fruit-No,Brown spices No,UT_Vanilla-No,UT_Wood-No,New_Wood-No,Aged_Wood-No,UT_Smoky-No,UT_Rubber-No,UT_Sugars-_No,Caramel,Brown_Sugar-No,UT Floral No,UT__Green,Hay/Tea-No,UT_Dry_Fragant-_Pa,Sweet,Bitter,Sour,Alcoholic_strength,Viscous
Antiquity Blue (109),AQB (In market),P1,7.380952381,0,3.957142857,0,0,4.342857143,0,4.319047619,0.428571429,4.128571429,2.147619048,0,2.138095238,0,2.69047619,0,0,5.476190476,7.133333333,0.404761905,7.776190476,2.123809524
540,RCW 100%+0.2% Herbs&Spices flavor            ,P2,3.846,0.079,3.783,5.908,0,4.762,0.004,3.233,0.167,2.404,2.421,0,1.908,0,0.242,0,0,4.796,6.829,0,9.008,1.846
342,Ramonav Vodka 30%+CCMS 70%       ,P3,6.733333333,0,4.928571429,0,0,4.671428571,0,3.123809524,0.623809524,5.695238095,1.880952381,0,1.728571429,0,7.114285714,0,0.1,5.433333333,6.933333333,0.576190476,7.657142857,2.238095238
186,Romanov Vodka 59%+PJ Nirvana 39% ,P4,7.576190476,0,4.676190476,0,0.095238095,4.619047619,0,3.595238095,0.561904762,6.085714286,1.880952381,0,1.571428571,0,3.114285714,0.142857143,0.142857143,5.352380952,7.195238095,0.752380952,7.638095238,2.219047619
Chivas 12(943),Chivas Regal (In market),P5,8.038095238,0,4.142857143,0,0,5.366666667,0,4.738095238,0,4.528571429,2.161904762,0,2.171428571,0,1.038095238,0,0,5.342857143,7.19047619,0.471428571,7.942857143,2.276190476
293,Romanov Vodka 80%+VGS 10%+VMS 5%+caramel flavor 0.013%+0.04% tender coconut flavor+0.75%diluted caramel          ,P6,2.933333333,0,1.628571429,0,10.16190476,1.738095238,0,0,0,0,8.828571429,10.3,1.423809524,0,0,0,0,6.028571429,6.623809524,0.380952381,7.533333333,2.547619048
388,Romanov Vodka 75%+VGS 5%+ JD 20%,P7,8.580952381,8.419047619,0.538095238,0,0,10.77619048,10.77142857,0,0,4.252380952,2.023809524,0,1.985714286,0,0,0.380952381,0.519047619,5.566666667,7.395238095,0.428571429,7.838095238,2.271428571
434, AQB 100%+0.02% Black tea flavor ,P8,6.492,0,5.225,0,0,4.396,0.167,2.858,0.037,2.571,2.125,0,1.775,1.454,1.508,6.767,5.942,5.163,6.671,0,8.938,1.804
765,Ramonav Vodka 82%+Glenfiddich 15%+PJ Bold 3% ,P9,5.129,0,3.692,0,0,5.775,0.708,4.275,2.896,4.258,1.492,0,1.504,0.004,0.629,0.354,0.579,4.983,6.508,0,8.95,1.867
427,Johnnie Walker Red Rye Admix,P10,4.608,1.196,2.604,0.092,0,9.117,8.742,0.292,0,3.504,2.462,0,1.092,0,0,0,0.367,5.142,6.692,0,8.963,1.783
Signature Rare(582),SRW (In market),P11,5.176190476,0,3.319047619,0,0,3.861904762,0,2.133333333,0.895238095,4.504761905,1.185714286,0,0.980952381,0,1.085714286,0,0,5.466666667,6.714285714,0.457142857,7.504761905,2.228571429
Oaksmith Gold (436),OSW Gold (In market),P12,4.642857143,0,3.095238095,0,0,5.466666667,0,4.052380952,0,4.20952381,1.885714286,0,1.857142857,0,0.285714286,0,0,5.30952381,7.214285714,0.476190476,7.966666667,2.195238095
201,Romanov Vodka 45%+Teachers50 55%                ,P13,4.657142857,0,3.114285714,0,0,4.776190476,0,4.752380952,7.30952381,6.628571429,1.49047619,0,1.328571429,0,0.352380952,0,0,5.452380952,7.047619048,0.49047619,7.776190476,2.142857143
Blenders Pride (565),BLP-Reserve (In market),P14,6.057142857,0,2.752380952,0,0,4.052380952,0,3.60952381,1.495238095,4.728571429,1.552380952,0,1.257142857,0,1.319047619,0,0,5.404761905,6.647619048,0.952380952,7.60952381,2.185714286
272,Romanov Vodka 70%+White Walker 30%            ,P15,6.50952381,0.29047619,3.523809524,0,0.919047619,4.557142857,0,3.147619048,0,4.1,2.776190476,0,2.166666667,0,0.185714286,0,0,5.519047619,7.147619048,0.419047619,7.823809524,2.257142857
